,tweet,brand,sentiment,lemmatization,polarity
0,3g iphone 3 hrs tweeting rise_austin dead need upgrade plugin stations sxsw,Apple,Negative emotion,3g iphone 3 hr tweeting rise_austin dead need upgrade plugin station sxsw,-0.2
1,know awesome ipadiphone app youll likely appreciate design also theyre giving free ts sxsw,Apple,Positive emotion,know awesome ipadiphone app youll likely appreciate design also theyre giving free t sxsw,0.4666666666666666
2,wait ipad 2 also sale sxsw,Apple,Positive emotion,wait ipad 2 also sale sxsw,0.0
3,hope years festival isnt crashy years iphone app sxsw,Apple,Negative emotion,hope year festival isnt crashy year iphone app sxsw,0.0
4,great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,Google,Positive emotion,great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,0.8
5,new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd,Apple,No emotion toward brand or product,new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd,0.13636363636363635
7,beautifully smart simple idea rt wrote hollergram ipad app sxsw,Apple,Positive emotion,beautifully smart simple idea rt wrote hollergram ipad app sxsw,0.10714285714285714
8,counting days sxsw plus strong canadian dollar means stock apple gear,Apple,Positive emotion,counting day sxsw plus strong canadian dollar mean stock apple gear,0.060416666666666646
9,excited meet sxsw show sprint galaxy still running android 21 fail,Google,Positive emotion,excited meet sxsw show sprint galaxy still running android 21 fail,-0.0625
10,find amp start impromptu parties sxsw cant wait til android app comes,Google,Positive emotion,find amp start impromptu party sxsw cant wait til android app come,0.0
11,foursquare ups game time sxsw still prefer far best looking android app date,Google,Positive emotion,foursquare ups game time sxsw still prefer far best looking android app date,0.2333333333333333
12,gotta love sxsw google calendar featuring top parties show cases check rt via gthttpbitlyaxzwxb,Google,Positive emotion,gotta love sxsw google calendar featuring top party show case check rt via gthttpbitlyaxzwxb,0.5
13,great sxsw ipad app,Apple,Positive emotion,great sxsw ipad app,0.8
14,haha awesomely rad ipad app hollergram sxsw,Apple,Positive emotion,haha awesomely rad ipad app hollergram sxsw,0.6
15,holler gram ipad itunes app store via sxsw,Apple,Positive emotion,holler gram ipad itunes app store via sxsw,0.0
16,noticed dst coming weekend many iphone users hour late sxsw come sunday morning sxsw iphone,Apple,No emotion toward brand or product,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,0.1
17,added sxsw flights matching people planesairports also downloaded iphone app nicely done,Apple,Negative emotion,added sxsw flight matching people planesairports also downloaded iphone app nicely done,0.6
18,must sxsw app rt lovely review forbes sxsw ipad app holler gram,Apple,Positive emotion,must sxsw app rt lovely review forbes sxsw ipad app holler gram,0.5
19,need buy ipad2 im austin sxsw sure ill need q austin apple store,Apple,Positive emotion,need buy ipad2 im austin sxsw sure ill need q austin apple store,0.0
20,oh god sxsw app ipad pure unadulterated awesome easier browse events ipad website,Apple,Positive emotion,oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website,0.5380952380952381
21,okay really yay new android app11 kthxbai sxsw,Google,Positive emotion,okay really yay new android app11 kthxbai sxsw,0.27878787878787875
22,photo installed sxsw iphone app really nice,Apple,Positive emotion,photo installed sxsw iphone app really nice,0.6
23,really enjoying changes gowalla 30 android looking forward seeing else amp foursquare sleeves sxsw,Google,Positive emotion,really enjoying change gowalla 30 android looking forward seeing else amp foursquare sleeve sxsw,0.5
24,rt im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,Apple,Positive emotion,rt im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,0.15000000000000002
25,rt haha awesomely rad ipad app hollergram sxsw via,Apple,Positive emotion,rt haha awesomely rad ipad app hollergram sxsw via,0.6
26,someone started austin group google groups presxsw great idea,Google,Positive emotion,someone started austin group google group presxsw great idea,0.8
